Snapshot: additional-disk-centos-vm-20250806043215 | Age: 21 days | Size: 10GB | Type: Unknown
Snapshot: additional-disk-centos-vm-20250806213225 | Age: 20 days | Size: 10GB | Type: Unknown
Snapshot: additional-disk-centos-vm-20250810213011 | Age: 16 days | Size: 10GB | Type: Unknown
Snapshot: centos-vm-20250806043248 | Age: 21 days | Size: 20GB | Type: Unknown
Snapshot: debian-vm-20250806043514 | Age: 21 days | Size: 10GB | Type: Unknown
Snapshot: disk-1-20250806043602 | Age: 21 days | Size: 10GB | Type: Unknown
Snapshot: disk-1-20250806213009 | Age: 20 days | Size: 10GB | Type: Unknown
Snapshot: disk-1-20250807213010 | Age: 19 days | Size: 10GB | Type: Unknown
Snapshot: disk-1-20250808213010 | Age: 18 days | Size: 10GB | Type: Unknown
Snapshot: disk-1-20250809213011 | Age: 17 days | Size: 10GB | Type: Unknown
Snapshot: new-test-vm-20250806043627 | Age: 21 days | Size: 10GB | Type: Unknown
Snapshot: pvc-584cafaa-a163-4289-aa9b-1408cd3f70e2-20250806043802 | Age: 21 days | Size: 2GB | Type: Unknown
Snapshot: pvc-584cafaa-a163-4289-aa9b-1408cd3f70e2-20250806213042 | Age: 20 days | Size: 2GB | Type: Unknown
Snapshot: pvc-584cafaa-a163-4289-aa9b-1408cd3f70e2-20250811213012 | Age: 15 days | Size: 2GB | Type: Unknown
Snapshot: pvc-584cafaa-a163-4289-aa9b-1408cd3f70e2-20250812213010 | Age: 14 days | Size: 2GB | Type: Unknown
Snapshot: pvc-584cafaa-a163-4289-aa9b-1408cd3f70e2-20250813213015 | Age: 13 days | Size: 2GB | Type: Unknown
Snapshot: pvc-584cafaa-a163-4289-aa9b-1408cd3f70e2-20250814213010 | Age: 12 days | Size: 2GB | Type: Unknown
Snapshot: pvc-584cafaa-a163-4289-aa9b-1408cd3f70e2-20250815213012 | Age: 11 days | Size: 2GB | Type: Unknown
Snapshot: pvc-8ba5166a-cb43-4fb1-9339-9bfa71ded49a-20250806043841 | Age: 21 days | Size: 16GB | Type: Unknown
Snapshot: pvc-8ba5166a-cb43-4fb1-9339-9bfa71ded49a-20250806213104 | Age: 20 days | Size: 16GB | Type: Unknown
Snapshot: pvc-8ba5166a-cb43-4fb1-9339-9bfa71ded49a-20250813213036 | Age: 13 days | Size: 16GB | Type: Unknown
Snapshot: pvc-be35db1b-f9ed-419c-becc-d5f82def2c36-20250806043936 | Age: 21 days | Size: 2GB | Type: Unknown
Snapshot: pvc-be35db1b-f9ed-419c-becc-d5f82def2c36-20250806213130 | Age: 20 days | Size: 2GB | Type: Unknown
Snapshot: pvc-be35db1b-f9ed-419c-becc-d5f82def2c36-20250813213101 | Age: 13 days | Size: 2GB | Type: Unknown
Snapshot: pvc-d012f836-4b42-4eb0-85a8-53b12aea83a9-20250806044014 | Age: 21 days | Size: 16GB | Type: Unknown
Snapshot: pvc-d012f836-4b42-4eb0-85a8-53b12aea83a9-20250806213152 | Age: 20 days | Size: 16GB | Type: Unknown
Snapshot: pvc-d012f836-4b42-4eb0-85a8-53b12aea83a9-20250813213130 | Age: 13 days | Size: 16GB | Type: Unknown
